"Index Name","Date","Open","High","Low","Close"
"NIFTY 50","31 Dec 2010","6105.10","6147.30","6103.55","6134.50"
"NIFTY 50","30 Dec 2010","6062.35","6106.40","6062.35","6101.85"
"NIFTY 50","29 Dec 2010","6005.15","6067.55","6002.85","6060.35"
"NIFTY 50","28 Dec 2010","6005.35","6010.90","5982.25","5996.00"
"NIFTY 50","27 Dec 2010","6013.30","6045.75","5991.10","5998.10"
"NIFTY 50","24 Dec 2010","5940.25","6017.35","5940.25","6011.60"
"NIFTY 50","23 Dec 2010","6005.90","6006.45","5964.60","5980.00"
"NIFTY 50","22 Dec 2010","6019.00","6023.80","5958.00","5984.40"
"NIFTY 50","21 Dec 2010","5960.40","6007.45","5960.05","6000.65"
"NIFTY 50","20 Dec 2010","5926.85","5985.00","5900.25","5947.05"
"NIFTY 50","16 Dec 2010","5910.55","5956.15","5855.05","5948.75"
"NIFTY 50","15 Dec 2010","5931.15","5942.75","5865.80","5892.30"
"NIFTY 50","14 Dec 2010","5928.70","5953.95","5888.75","5944.10"
"NIFTY 50","13 Dec 2010","5882.65","5913.80","5795.90","5907.65"
"NIFTY 50","10 Dec 2010","5761.00","5865.50","5721.15","5857.35"
"NIFTY 50","09 Dec 2010","5924.25","5927.30","5742.30","5766.50"
"NIFTY 50","08 Dec 2010","5954.40","5960.00","5878.60","5903.70"
"NIFTY 50","07 Dec 2010","5995.05","6001.00","5939.70","5976.55"
"NIFTY 50","06 Dec 2010","6033.65","6069.45","5981.70","5992.25"
"NIFTY 50","03 Dec 2010","6013.35","6025.40","5964.25","5992.80"
"NIFTY 50","02 Dec 2010","6023.05","6029.50","5980.60","6011.70"
"NIFTY 50","01 Dec 2010","5871.00","5971.00","5865.55","5960.90"
"NIFTY 50","30 Nov 2010","5811.60","5892.25","5768.35","5862.70"
"NIFTY 50","29 Nov 2010","5789.95","5843.15","5754.70","5830.00"
"NIFTY 50","26 Nov 2010","5828.55","5838.50","5690.35","5751.95"
"NIFTY 50","25 Nov 2010","5883.95","5907.10","5780.35","5799.75"
"NIFTY 50","24 Nov 2010","5946.80","5976.65","5833.60","5865.75"
"NIFTY 50","23 Nov 2010","5971.55","5973.35","5824.95","5934.75"
"NIFTY 50","22 Nov 2010","5920.90","6020.25","5905.15","6010.00"
"NIFTY 50","19 Nov 2010","6011.30","6013.25","5863.95","5890.30"
"NIFTY 50","18 Nov 2010","6075.95","6076.20","5906.75","5998.80"
"NIFTY 50","16 Nov 2010","6143.45","6144.05","5970.60","5988.70"
"NIFTY 50","15 Nov 2010","6079.90","6128.75","6039.40","6121.60"
"NIFTY 50","12 Nov 2010","6182.30","6202.50","6056.75","6071.65"
"NIFTY 50","11 Nov 2010","6286.35","6296.55","6179.50","6194.25"
"NIFTY 50","10 Nov 2010","6303.20","6307.65","6269.25","6275.70"
"NIFTY 50","09 Nov 2010","6281.00","6310.90","6243.55","6301.55"
"NIFTY 50","08 Nov 2010","6335.25","6335.90","6265.35","6273.20"
"NIFTY 50","05 Nov 2010","6321.85","6338.50","6303.10","6312.45"
"NIFTY 50","04 Nov 2010","6209.60","6290.15","6199.35","6281.80"
"NIFTY 50","03 Nov 2010","6150.60","6182.50","6146.80","6160.50"
"NIFTY 50","02 Nov 2010","6127.55","6138.10","6094.40","6119.00"
"NIFTY 50","01 Nov 2010","6092.30","6132.40","6084.75","6117.55"
"NIFTY 50","29 Oct 2010","6021.15","6032.65","5937.10","6017.70"
"NIFTY 50","28 Oct 2010","6039.95","6071.10","5968.10","5987.70"
"NIFTY 50","27 Oct 2010","6075.45","6075.95","5987.55","6012.65"
"NIFTY 50","26 Oct 2010","6116.30","6120.25","6074.65","6082.00"
"NIFTY 50","25 Oct 2010","6101.25","6151.30","6094.60","6105.80"
"NIFTY 50","22 Oct 2010","6113.40","6121.10","6041.35","6066.05"
"NIFTY 50","21 Oct 2010","6008.90","6113.50","5984.90","6101.50"
"NIFTY 50","20 Oct 2010","6002.95","6038.10","5966.75","5982.10"
"NIFTY 50","19 Oct 2010","6114.45","6127.05","6008.15","6027.30"
"NIFTY 50","18 Oct 2010","6112.75","6115.10","5985.10","6075.95"
"NIFTY 50","15 Oct 2010","6175.90","6200.60","6050.35","6062.65"
"NIFTY 50","14 Oct 2010","6234.30","6284.10","6157.90","6177.35"
"NIFTY 50","13 Oct 2010","6091.45","6240.25","6089.75","6233.90"
"NIFTY 50","12 Oct 2010","6135.95","6144.95","6057.95","6090.90"
"NIFTY 50","11 Oct 2010","6105.95","6187.75","6105.95","6135.85"
"NIFTY 50","08 Oct 2010","6121.40","6148.60","6067.00","6103.45"
"NIFTY 50","07 Oct 2010","6186.85","6199.45","6107.50","6120.30"
"NIFTY 50","06 Oct 2010","6150.95","6223.40","6148.60","6186.45"
"NIFTY 50","05 Oct 2010","6159.45","6188.35","6118.05","6145.80"
"NIFTY 50","04 Oct 2010","6144.70","6222.10","6144.70","6159.45"
"NIFTY 50","01 Oct 2010","6030.30","6153.10","6030.30","6143.40"
"NIFTY 50","30 Sep 2010","5991.35","6048.45","5963.60","6029.95"
"NIFTY 50","29 Sep 2010","6029.15","6071.55","5979.65","5991.30"
"NIFTY 50","28 Sep 2010","6036.05","6049.80","5991.30","6029.50"
"NIFTY 50","27 Sep 2010","6018.30","6073.50","6018.30","6035.65"
"NIFTY 50","24 Sep 2010","5959.45","6029.10","5951.20","6018.30"
"NIFTY 50","23 Sep 2010","5991.05","6006.80","5932.40","5959.55"
"NIFTY 50","22 Sep 2010","6008.40","6037.40","5946.45","5991.00"
"NIFTY 50","21 Sep 2010","5980.50","6032.80","5961.85","6009.05"
"NIFTY 50","20 Sep 2010","5885.05","5989.50","5885.05","5980.45"
"NIFTY 50","17 Sep 2010","5828.70","5898.40","5828.70","5884.95"
"NIFTY 50","16 Sep 2010","5861.10","5901.65","5815.80","5828.70"
"NIFTY 50","15 Sep 2010","5795.25","5869.45","5792.20","5860.95"
"NIFTY 50","14 Sep 2010","5760.30","5838.45","5760.30","5795.55"
"NIFTY 50","13 Sep 2010","5639.20","5770.60","5639.20","5760.00"
"NIFTY 50","09 Sep 2010","5608.30","5647.45","5608.10","5640.05"
"NIFTY 50","08 Sep 2010","5604.25","5625.30","5567.75","5607.85"
"NIFTY 50","07 Sep 2010","5575.90","5625.50","5571.65","5604.00"
"NIFTY 50","06 Sep 2010","5479.55","5589.40","5479.55","5576.95"
