"Index Name","Date","Open","High","Low","Close"
"NIFTY 50","14 Nov 2018","10634.90","10651.60","10532.70","10576.30"
"NIFTY 50","13 Nov 2018","10451.90","10596.25","10440.55","10582.50"
"NIFTY 50","12 Nov 2018","10607.80","10645.50","10464.05","10482.20"
"NIFTY 50","09 Nov 2018","10614.70","10619.55","10544.85","10585.20"
"NIFTY 50","07 Nov 2018","10614.45","10616.45","10582.30","10598.40"
"NIFTY 50","06 Nov 2018","10552.00","10600.25","10491.45","10530.00"
"NIFTY 50","05 Nov 2018","10558.75","10558.80","10477.00","10524.00"
"NIFTY 50","02 Nov 2018","10462.30","10606.95","10457.70","10553.00"
"NIFTY 50","01 Nov 2018","10441.70","10441.90","10341.90","10380.45"
"NIFTY 50","31 Oct 2018","10209.55","10396.00","10105.10","10386.60"
"NIFTY 50","30 Oct 2018","10239.40","10285.10","10175.35","10198.40"
"NIFTY 50","29 Oct 2018","10078.10","10275.30","10020.35","10250.85"
"NIFTY 50","26 Oct 2018","10122.35","10128.85","10004.55","10030.00"
"NIFTY 50","25 Oct 2018","10135.05","10166.60","10079.30","10124.90"
"NIFTY 50","24 Oct 2018","10278.15","10290.65","10126.70","10224.75"
"NIFTY 50","23 Oct 2018","10152.60","10222.10","10102.35","10146.80"
"NIFTY 50","22 Oct 2018","10405.85","10408.55","10224.00","10245.25"
"NIFTY 50","19 Oct 2018","10339.70","10380.10","10249.60","10303.55"
"NIFTY 50","17 Oct 2018","10688.70","10710.15","10436.45","10453.05"
"NIFTY 50","16 Oct 2018","10550.15","10604.90","10525.30","10584.75"
"NIFTY 50","15 Oct 2018","10524.20","10526.30","10410.15","10512.50"
"NIFTY 50","12 Oct 2018","10331.55","10492.45","10322.15","10472.50"
"NIFTY 50","11 Oct 2018","10169.80","10335.95","10138.60","10234.65"
"NIFTY 50","10 Oct 2018","10331.85","10482.35","10318.25","10460.10"
"NIFTY 50","09 Oct 2018","10390.30","10397.60","10279.35","10301.05"
"NIFTY 50","08 Oct 2018","10310.15","10398.35","10198.40","10348.05"
"NIFTY 50","05 Oct 2018","10514.10","10540.65","10261.90","10316.45"
"NIFTY 50","04 Oct 2018","10754.70","10754.70","10547.25","10599.25"
"NIFTY 50","03 Oct 2018","10982.70","10989.05","10843.75","10858.25"
"NIFTY 50","01 Oct 2018","10930.90","11035.65","10821.55","11008.30"
"NIFTY 50","28 Sep 2018","11008.10","11034.10","10850.30","10930.45"
"NIFTY 50","27 Sep 2018","11079.80","11089.45","10953.35","10977.55"
"NIFTY 50","26 Sep 2018","11145.55","11145.55","10993.05","11053.80"
"NIFTY 50","25 Sep 2018","10969.95","11080.60","10882.85","11067.45"
"NIFTY 50","24 Sep 2018","11164.40","11170.15","10943.60","10967.40"
"NIFTY 50","21 Sep 2018","11271.30","11346.80","10866.45","11143.10"
"NIFTY 50","19 Sep 2018","11326.65","11332.05","11210.90","11234.35"
"NIFTY 50","18 Sep 2018","11381.55","11411.45","11268.95","11278.90"
"NIFTY 50","17 Sep 2018","11464.95","11464.95","11366.90","11377.75"
"NIFTY 50","14 Sep 2018","11443.50","11523.25","11430.55","11515.20"
"NIFTY 50","12 Sep 2018","11340.10","11380.75","11250.20","11369.90"
"NIFTY 50","11 Sep 2018","11476.85","11479.40","11274.00","11287.50"
"NIFTY 50","10 Sep 2018","11570.25","11573.00","11427.30","11438.10"
"NIFTY 50","07 Sep 2018","11558.25","11603.00","11484.40","11589.10"
"NIFTY 50","06 Sep 2018","11514.15","11562.25","11436.05","11536.90"
"NIFTY 50","05 Sep 2018","11514.85","11542.65","11393.85","11476.95"
"NIFTY 50","04 Sep 2018","11598.75","11602.55","11496.85","11520.30"
"NIFTY 50","03 Sep 2018","11751.80","11751.80","11567.40","11582.35"
"NIFTY 50","31 Aug 2018","11675.85","11727.65","11640.10","11680.50"
"NIFTY 50","30 Aug 2018","11694.75","11698.80","11639.70","11676.80"
"NIFTY 50","29 Aug 2018","11744.95","11753.20","11678.85","11691.90"
"NIFTY 50","28 Aug 2018","11731.95","11760.20","11710.50","11738.50"
"NIFTY 50","27 Aug 2018","11605.85","11700.95","11595.60","11691.95"
"NIFTY 50","24 Aug 2018","11566.60","11604.60","11532.00","11557.10"
"NIFTY 50","23 Aug 2018","11620.70","11620.70","11546.70","11582.75"
"NIFTY 50","21 Aug 2018","11576.20","11581.75","11539.60","11570.90"
"NIFTY 50","20 Aug 2018","11502.10","11565.30","11499.65","11551.75"
"NIFTY 50","17 Aug 2018","11437.15","11486.45","11431.80","11470.75"
"NIFTY 50","16 Aug 2018","11397.15","11449.85","11366.25","11385.05"
"NIFTY 50","14 Aug 2018","11381.70","11452.45","11370.80","11435.10"
"NIFTY 50","13 Aug 2018","11369.60","11406.30","11340.30","11355.75"
"NIFTY 50","10 Aug 2018","11474.95","11478.75","11419.65","11429.50"
"NIFTY 50","09 Aug 2018","11493.25","11495.20","11454.10","11470.70"
"NIFTY 50","08 Aug 2018","11412.50","11459.95","11379.30","11450.00"
"NIFTY 50","07 Aug 2018","11423.15","11428.95","11359.70","11389.45"
"NIFTY 50","06 Aug 2018","11401.50","11427.65","11370.60","11387.10"
"NIFTY 50","03 Aug 2018","11297.80","11368.00","11294.55","11360.80"
"NIFTY 50","02 Aug 2018","11328.90","11328.90","11234.95","11244.70"
"NIFTY 50","01 Aug 2018","11359.80","11390.55","11313.55","11346.20"
"NIFTY 50","31 Jul 2018","11311.05","11366.00","11267.75","11356.50"
"NIFTY 50","30 Jul 2018","11296.65","11328.10","11261.45","11319.55"
"NIFTY 50","27 Jul 2018","11232.75","11283.40","11210.25","11278.35"
"NIFTY 50","26 Jul 2018","11132.95","11185.85","11125.70","11167.30"
"NIFTY 50","25 Jul 2018","11148.40","11157.15","11113.25","11132.00"
"NIFTY 50","24 Jul 2018","11109.00","11143.40","11092.50","11134.30"
"NIFTY 50","23 Jul 2018","11019.85","11093.40","11010.95","11084.75"
"NIFTY 50","20 Jul 2018","10963.50","11030.25","10946.20","11010.20"
"NIFTY 50","19 Jul 2018","10999.50","11006.50","10935.45","10957.10"
"NIFTY 50","18 Jul 2018","11060.20","11076.20","10956.30","10980.45"
"NIFTY 50","17 Jul 2018","10939.65","11018.50","10925.60","11008.05"
"NIFTY 50","16 Jul 2018","11018.95","11019.50","10926.25","10936.85"
"NIFTY 50","13 Jul 2018","11056.90","11071.35","10999.75","11018.90"
"NIFTY 50","12 Jul 2018","11006.95","11078.30","10999.65","11023.20"
"NIFTY 50","11 Jul 2018","10956.40","10976.65","10923.00","10948.30"
"NIFTY 50","10 Jul 2018","10902.75","10956.90","10876.65","10947.25"
"NIFTY 50","09 Jul 2018","10838.30","10860.35","10807.15","10852.90"
"NIFTY 50","06 Jul 2018","10744.15","10816.35","10735.05","10772.65"
"NIFTY 50","05 Jul 2018","10786.05","10786.05","10726.25","10749.75"
"NIFTY 50","04 Jul 2018","10715.00","10777.15","10677.75","10769.90"
"NIFTY 50","03 Jul 2018","10668.60","10713.30","10630.25","10699.90"
"NIFTY 50","02 Jul 2018","10732.35","10736.15","10604.65","10657.30"
"NIFTY 50","29 Jun 2018","10612.85","10723.05","10612.35","10714.30"
"NIFTY 50","28 Jun 2018","10660.80","10674.20","10557.70","10589.10"
"NIFTY 50","27 Jun 2018","10785.50","10785.50","10652.40","10671.40"
"NIFTY 50","26 Jun 2018","10742.70","10805.25","10732.55","10769.15"
"NIFTY 50","25 Jun 2018","10822.90","10831.05","10753.05","10762.45"
"NIFTY 50","22 Jun 2018","10742.70","10837.00","10710.45","10821.85"
"NIFTY 50","21 Jun 2018","10808.45","10809.60","10725.90","10741.10"
"NIFTY 50","20 Jun 2018","10734.65","10781.80","10724.05","10772.05"
"NIFTY 50","19 Jun 2018","10789.45","10789.45","10701.20","10710.45"
"NIFTY 50","18 Jun 2018","10830.20","10830.20","10787.35","10799.85"
"NIFTY 50","15 Jun 2018","10808.65","10834.00","10755.40","10817.70"
"NIFTY 50","14 Jun 2018","10832.90","10833.70","10773.55","10808.05"
"NIFTY 50","13 Jun 2018","10887.50","10893.25","10842.65","10856.70"
"NIFTY 50","12 Jun 2018","10816.15","10856.55","10789.40","10842.85"
"NIFTY 50","11 Jun 2018","10781.85","10850.55","10777.05","10786.95"
"NIFTY 50","08 Jun 2018","10736.40","10779.45","10709.05","10767.65"
"NIFTY 50","07 Jun 2018","10722.60","10818.00","10722.60","10768.35"
"NIFTY 50","06 Jun 2018","10603.45","10698.35","10587.50","10684.65"
"NIFTY 50","05 Jun 2018","10630.70","10633.15","10550.90","10593.15"
"NIFTY 50","04 Jun 2018","10765.95","10770.30","10618.35","10628.50"
"NIFTY 50","01 Jun 2018","10738.45","10764.75","10681.50","10696.20"
"NIFTY 50","31 May 2018","10670.10","10763.80","10620.40","10736.15"
"NIFTY 50","30 May 2018","10579.00","10648.70","10558.45","10614.35"
"NIFTY 50","29 May 2018","10689.40","10717.25","10616.10","10633.30"
"NIFTY 50","28 May 2018","10648.35","10709.80","10640.55","10688.65"
"NIFTY 50","25 May 2018","10533.05","10628.05","10524.00","10605.15"
"NIFTY 50","24 May 2018","10464.85","10535.15","10419.80","10513.85"
"NIFTY 50","23 May 2018","10521.10","10533.55","10417.80","10430.35"
"NIFTY 50","22 May 2018","10518.45","10558.60","10490.55","10536.70"
"NIFTY 50","21 May 2018","10616.70","10621.70","10505.80","10516.70"
"NIFTY 50","18 May 2018","10671.85","10674.95","10589.10","10596.40"
"NIFTY 50","17 May 2018","10775.60","10777.25","10664.50","10682.70"
"NIFTY 50","16 May 2018","10751.95","10790.45","10699.70","10741.10"
"NIFTY 50","15 May 2018","10812.60","10929.20","10781.40","10801.85"
"NIFTY 50","14 May 2018","10815.15","10834.85","10774.75","10806.60"
"NIFTY 50","11 May 2018","10741.95","10812.05","10724.45","10806.50"
"NIFTY 50","10 May 2018","10779.65","10785.55","10705.00","10716.55"
"NIFTY 50","09 May 2018","10693.35","10766.25","10689.85","10741.70"
"NIFTY 50","08 May 2018","10757.90","10758.55","10689.40","10717.80"
"NIFTY 50","07 May 2018","10653.15","10725.65","10635.65","10715.50"
"NIFTY 50","04 May 2018","10700.45","10700.45","10601.60","10618.25"
"NIFTY 50","03 May 2018","10720.15","10720.60","10647.45","10679.65"
"NIFTY 50","02 May 2018","10783.85","10784.65","10689.80","10718.05"
"NIFTY 50","30 Apr 2018","10705.75","10759.00","10704.60","10739.35"
"NIFTY 50","27 Apr 2018","10651.65","10719.80","10647.55","10692.30"
"NIFTY 50","26 Apr 2018","10586.50","10628.40","10559.65","10617.80"
"NIFTY 50","25 Apr 2018","10612.40","10612.60","10536.45","10570.55"
"NIFTY 50","24 Apr 2018","10578.10","10636.80","10569.00","10614.35"
"NIFTY 50","23 Apr 2018","10592.80","10638.35","10514.95","10584.70"
"NIFTY 50","20 Apr 2018","10560.35","10582.35","10527.45","10564.05"
"NIFTY 50","19 Apr 2018","10563.65","10572.20","10546.20","10565.30"
"NIFTY 50","18 Apr 2018","10578.90","10594.20","10509.70","10526.20"
"NIFTY 50","17 Apr 2018","10557.30","10560.45","10495.65","10548.70"
"NIFTY 50","16 Apr 2018","10398.30","10540.15","10396.35","10528.35"
"NIFTY 50","13 Apr 2018","10495.30","10519.90","10451.45","10480.60"
"NIFTY 50","12 Apr 2018","10410.65","10469.90","10395.25","10458.65"
"NIFTY 50","11 Apr 2018","10428.15","10428.15","10355.60","10417.15"
"NIFTY 50","10 Apr 2018","10412.90","10424.85","10381.50","10402.25"
"NIFTY 50","09 Apr 2018","10333.70","10397.70","10328.50","10379.35"
"NIFTY 50","06 Apr 2018","10322.75","10350.45","10290.85","10331.60"
"NIFTY 50","05 Apr 2018","10228.45","10331.80","10227.45","10325.15"
"NIFTY 50","04 Apr 2018","10274.60","10279.85","10111.30","10128.40"
"NIFTY 50","03 Apr 2018","10186.85","10255.35","10171.05","10245.00"
"NIFTY 50","02 Apr 2018","10151.65","10220.10","10127.75","10211.80"
"NIFTY 50","28 Mar 2018","10143.60","10158.35","10096.90","10113.70"
"NIFTY 50","27 Mar 2018","10188.00","10207.90","10139.65","10184.15"
"NIFTY 50","26 Mar 2018","9989.15","10143.50","9958.55","10130.65"
"NIFTY 50","23 Mar 2018","9968.80","10027.70","9951.90","9998.05"
"NIFTY 50","22 Mar 2018","10167.50","10207.85","10105.40","10114.75"
"NIFTY 50","21 Mar 2018","10181.95","10227.30","10132.95","10155.25"
"NIFTY 50","20 Mar 2018","10051.55","10155.65","10049.10","10124.35"
"NIFTY 50","19 Mar 2018","10215.35","10224.55","10075.30","10094.25"
"NIFTY 50","16 Mar 2018","10345.15","10346.30","10180.25","10195.15"
"NIFTY 50","15 Mar 2018","10405.45","10420.00","10346.20","10360.15"
"NIFTY 50","14 Mar 2018","10393.05","10420.35","10336.30","10410.90"
"NIFTY 50","13 Mar 2018","10389.50","10478.60","10377.85","10426.85"
"NIFTY 50","12 Mar 2018","10301.60","10433.65","10295.45","10421.40"
"NIFTY 50","09 Mar 2018","10271.30","10296.70","10211.90","10226.85"
"NIFTY 50","08 Mar 2018","10216.25","10270.35","10146.40","10242.65"
"NIFTY 50","07 Mar 2018","10232.95","10243.35","10141.55","10154.20"
"NIFTY 50","06 Mar 2018","10420.50","10441.35","10215.90","10249.25"
"NIFTY 50","05 Mar 2018","10428.30","10428.70","10323.90","10358.85"
"NIFTY 50","01 Mar 2018","10479.95","10525.50","10447.15","10458.35"
"NIFTY 50","28 Feb 2018","10488.95","10535.50","10461.55","10492.85"
"NIFTY 50","27 Feb 2018","10615.20","10631.65","10537.25","10554.30"
"NIFTY 50","26 Feb 2018","10526.55","10592.95","10520.20","10582.60"
"NIFTY 50","23 Feb 2018","10408.10","10499.10","10396.65","10491.05"
"NIFTY 50","22 Feb 2018","10354.35","10397.55","10340.65","10382.70"
"NIFTY 50","21 Feb 2018","10426.00","10426.10","10349.60","10397.45"
"NIFTY 50","20 Feb 2018","10391.00","10429.35","10347.65","10360.40"
"NIFTY 50","19 Feb 2018","10488.90","10489.35","10302.75","10378.40"
"NIFTY 50","16 Feb 2018","10596.20","10612.90","10434.05","10452.30"
"NIFTY 50","15 Feb 2018","10537.90","10618.10","10511.05","10545.50"
"NIFTY 50","14 Feb 2018","10585.75","10590.55","10456.65","10500.90"
"NIFTY 50","12 Feb 2018","10518.20","10555.50","10485.40","10539.75"
"NIFTY 50","09 Feb 2018","10416.50","10480.20","10398.20","10454.95"
"NIFTY 50","08 Feb 2018","10518.50","10637.80","10479.55","10576.85"
"NIFTY 50","07 Feb 2018","10607.20","10614.00","10446.40","10476.70"
"NIFTY 50","06 Feb 2018","10295.15","10594.15","10276.30","10498.25"
"NIFTY 50","05 Feb 2018","10604.30","10702.75","10586.80","10666.55"
"NIFTY 50","02 Feb 2018","10938.20","10954.95","10736.10","10760.60"
"NIFTY 50","01 Feb 2018","11044.55","11117.35","10878.80","11016.90"
"NIFTY 50","31 Jan 2018","11018.80","11058.50","10979.30","11027.70"
"NIFTY 50","30 Jan 2018","11120.85","11121.10","11033.90","11049.65"
"NIFTY 50","29 Jan 2018","11079.35","11171.55","11075.95","11130.40"
"NIFTY 50","25 Jan 2018","11095.60","11095.60","11009.20","11069.65"
"NIFTY 50","24 Jan 2018","11069.35","11110.10","11046.15","11086.00"
"NIFTY 50","23 Jan 2018","10997.40","11092.90","10994.55","11083.70"
"NIFTY 50","22 Jan 2018","10883.20","10975.10","10881.40","10966.20"
"NIFTY 50","19 Jan 2018","10829.20","10906.85","10793.90","10894.70"
"NIFTY 50","18 Jan 2018","10873.40","10887.50","10782.40","10817.00"
"NIFTY 50","17 Jan 2018","10702.45","10803.00","10666.75","10788.55"
"NIFTY 50","16 Jan 2018","10761.50","10762.35","10687.85","10700.45"
"NIFTY 50","15 Jan 2018","10718.50","10782.65","10713.80","10741.55"
"NIFTY 50","12 Jan 2018","10682.55","10690.40","10597.10","10681.25"
"NIFTY 50","11 Jan 2018","10637.05","10664.60","10612.35","10651.20"
"NIFTY 50","10 Jan 2018","10652.05","10655.50","10592.70","10632.20"
"NIFTY 50","09 Jan 2018","10645.10","10659.15","10603.60","10637.00"
"NIFTY 50","08 Jan 2018","10591.70","10631.20","10588.55","10623.60"
"NIFTY 50","05 Jan 2018","10534.25","10566.10","10520.10","10558.85"
"NIFTY 50","04 Jan 2018","10469.40","10513.00","10441.45","10504.80"
"NIFTY 50","03 Jan 2018","10482.65","10503.60","10429.55","10443.20"
"NIFTY 50","02 Jan 2018","10477.55","10495.20","10404.65","10442.20"
"NIFTY 50","01 Jan 2018","10531.70","10537.85","10423.10","10435.55"
